"URN","Q7_0","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q7_8","Q7_9","Q7_10","Q7_11","Q7_12","Q7_13","Q7_14","Q7_15","Q7_16","Q7_17"
"887601-887583-98565910","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"887601-887583-98566537","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"887601-887583-98567719","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"887601-887583-98567734","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"887601-887583-98568153","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"887601-887583-98570353","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"887601-887583-98572782","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"887601-887583-98573064","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"887601-887583-98574090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"887601-887583-98580896","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"887601-887583-98654617","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"887601-887583-98662894","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"887601-887583-98696871","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"887601-887583-98713551","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"887601-887583-98762815","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"887601-887583-98980003","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
